fichier,label,quality,species,site,mic_id,source,clip_debut_s,fenetre_debut_dans_clip_s,fenetre_dur_s
amphibian_contact_call/amphibian_contact_call_02_2LA03634_20260110_143000_15s.flac,amphibian_contact_call,,Adenomera andreae,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260110_143000.wav,11.5,3.5,3.0
amphibian_contact_call/amphibian_contact_call_03_2LA03634_20260110_143000_93s.flac,amphibian_contact_call,,Fourmilier tacheté,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260110_143000.wav,89.5,3.5,3.0
artefact_in_bag/artefact_in_bag_00_2LA03595_20251221_113000_96s.flac,artefact_in_bag,,,CDR,2LA03595,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03595/Data/2LA03595_20251221_113000.wav,92.5,3.5,3.0
artefact_in_bag/artefact_in_bag_01_2LA03021_20251227_123000_90s.flac,artefact_in_bag,,,CDR,2LA03021,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03021/Data/2LA03021_20251227_123000.wav,86.5,3.5,3.0
artefact_in_bag/artefact_in_bag_02_2LA03021_20251227_113000_57s.flac,artefact_in_bag,,Martinet,CDR,2LA03021,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03021/Data/2LA03021_20251227_113000.wav,53.5,3.5,3.0
artefact_in_bag/artefact_in_bag_03_2LA04444_20260109_063000_0s.flac,artefact_in_bag,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,0.0,0.0,3.0
artefact_in_bag/artefact_in_bag_04_2LA03595_20251227_123000_33s.flac,artefact_in_bag,,Ameerega hahneli,CDR,2LA03595,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03595/Data/2LA03595_20251227_123000.wav,29.5,3.5,3.0
artefact_in_bag/artefact_in_bag_05_LAGOTHRIX_20260104_110000_33s.flac,artefact_in_bag,,Fourmilier tacheté,PatawaOuest,2MA02726,Projet blanci 2025/RELEVE 2 Patawa - 30 dec 2025 -04 janv 2026/LAGOTHRIX/LAGOTHRIX_20260104_110000.wav,29.5,3.5,3.0
artefact_in_bag/artefact_in_bag_06_2MA01489_20251221_093000_18s.flac,artefact_in_bag,,,CDR,2MA01489,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2MA01489/Data/2MA01489_20251221_093000.wav,14.5,3.5,3.0
artefact_in_bag/artefact_in_bag_07_2LA03021_20251227_110000_36s.flac,artefact_in_bag,,,CDR,2LA03021,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03021/Data/2LA03021_20251227_110000.wav,32.5,3.5,3.0
artefact_in_bag/artefact_in_bag_08_2LA03595_20251221_113000_60s.flac,artefact_in_bag,,Allobates femoralis,CDR,2LA03595,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03595/Data/2LA03595_20251221_113000.wav,56.5,3.5,3.0
artefact_in_bag/artefact_in_bag_09_2LA03595_20251221_113000_99s.flac,artefact_in_bag,,,CDR,2LA03595,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA03595/Data/2LA03595_20251221_113000.wav,95.5,3.5,3.0
background/background_00_2LA04111_20251224_063000_108s.flac,background,,,CDR,2LA04111,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA04111/Data/2LA04111_20251224_063000.wav,104.5,3.5,3.0
background/background_01_2LA04219_20260112_153000_96s.flac,background,,,Mataroni,2LA04219,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04219_RB08/Data/2LA04219_20260112_153000.wav,92.5,3.5,3.0
bird/bird_00_2MA01489_20251222_160000_90s.flac,bird,,Martinet,CDR,2MA01489,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2MA01489/Data/2MA01489_20251222_160000.wav,86.5,3.5,3.0
bird/bird_01_2LA03595_20260112_070000_3s.flac,bird,,Fourmilier tacheté,Mataroni,2LA03595,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03595_GI07/Data/2LA03595_20260112_070000.wav,0.0,3.0,3.0
bird/bird_02_2LA05206_20260110_120000_108s.flac,bird,,Pic à cou rouge,Mataroni,2LA05206,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA05206_GI14/Data/2LA05206_20260110_120000.wav,104.5,3.5,3.0
bird/bird_03_2LA03634_20260110_073000_6s.flac,bird,,Fourmilier tacheté,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260110_073000.wav,2.5,3.5,3.0
bird/bird_04_2LA04285_20260113_070000_3s.flac,bird,,Fourmilier tacheté,Mataroni,2LA04285,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04285_SYL26/Data/2LA04285_20260113_070000.wav,0.0,3.0,3.0
bird/bird_05_2LA03555_20260111_083000_78s.flac,bird,,Psittacidae,Mataroni,2LA03555,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03555_SYL12/Data/2LA03555_20260111_083000.wav,74.5,3.5,3.0
bird/bird_06_2LA05239_20260111_130000_30s.flac,bird,,Évêque de Rothschild,Mataroni,2LA05239,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA05239_SYL20/Data/2LA05239_20260111_130000.wav,26.5,3.5,3.0
bird/bird_07_2LA04501_20260107_080000_24s.flac,bird,,Fourmilier tacheté,Mataroni,2LA04501,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04501_RB07/Data/2LA04501_20260107_080000.wav,20.5,3.5,3.0
bird/bird_08_2LA03563_20260107_080000_30s.flac,bird,,Fourmilier tacheté,Mataroni,2LA03563,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03563_SYL24/Data/2LA03563_20260107_080000.wav,26.5,3.5,3.0
bird/bird_09_2LA04285_20260108_073000_84s.flac,bird,,Fourmilier tacheté,Mataroni,2LA04285,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04285_SYL26/Data/2LA04285_20260108_073000.wav,80.5,3.5,3.0
blanci/blanci_00_2LA04530_20260112_163000_15s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA04530,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04530_MGM06/Data/2LA04530_20260112_163000.wav,11.5,3.5,3.0
blanci/blanci_01_SMA13417_20260113_100000_75s.flac,blanci,,Anomaloglossus blanci,Mataroni,SMA13417,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/SMA13417_RNRT3/Data/SMA13417_20260113_100000.wav,71.5,3.5,3.0
blanci/blanci_02_2LA03559_20260106_133000_66s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA03559,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03559_RB04/Data/2LA03559_20260106_133000.wav,62.5,3.5,3.0
blanci/blanci_03_2LA03559_20260106_140000_33s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA03559,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03559_RB04/Data/2LA03559_20260106_140000.wav,29.5,3.5,3.0
blanci/blanci_04_2LA03559_20260106_110000_114s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA03559,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03559_RB04/Data/2LA03559_20260106_110000.wav,110.5,3.5,3.0
blanci/blanci_05_2LA04530_20260106_103000_87s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA04530,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04530_MGM06/Data/2LA04530_20260106_103000.wav,83.5,3.5,3.0
blanci/blanci_06_2LA03771_20260113_083000_15s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA03771,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03771_SYL30/Data/2LA03771_20260113_083000.wav,11.5,3.5,3.0
blanci/blanci_07_2LA04530_20260109_173000_6s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA04530,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04530_MGM06/Data/2LA04530_20260109_173000.wav,2.5,3.5,3.0
blanci/blanci_08_2LA03559_20260107_173000_69s.flac,blanci,C,Anomaloglossus blanci,Mataroni,2LA03559,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03559_RB04/Data/2LA03559_20260107_173000.wav,65.5,3.5,3.0
blanci/blanci_09_2LA04429_20260112_143000_15s.flac,blanci,,Anomaloglossus blanci,Mataroni,2LA04429,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04429_RB05/Data/2LA04429_20260112_143000.wav,11.5,3.5,3.0
orthoptera/orthoptera_00_2LA04444_20260109_063000_30s.flac,orthoptera,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,26.5,3.5,3.0
orthoptera/orthoptera_01_2LA04522_20260111_073000_3s.flac,orthoptera,,,Mataroni,2LA04522,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04522_SYL13/Data/2LA04522_20260111_073000.wav,0.0,3.0,3.0
orthoptera/orthoptera_02_2LA04444_20260109_063000_21s.flac,orthoptera,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,17.5,3.5,3.0
other/other_00_2LA04522_20260111_080000_69s.flac,other,,,Mataroni,2LA04522,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04522_SYL13/Data/2LA04522_20260111_080000.wav,65.5,3.5,3.0
other/other_01_2LA04134_20260109_063000_12s.flac,other,,,Mataroni,2LA04134,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04134_GI16/Data/2LA04134_20260109_063000.wav,8.5,3.5,3.0
other/other_02_2LA03410_20260111_153000_93s.flac,other,,,Mataroni,2LA03410,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03410_MGM08/Data/2LA03410_20260111_153000.wav,89.5,3.5,3.0
other/other_03_2LA04445_20251227_060000_87s.flac,other,,,CDR,2LA04445,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/2LA04445/Data/2LA04445_20251227_060000.wav,83.5,3.5,3.0
other/other_04_2LA03550_20260112_093000_54s.flac,other,,,Mataroni,2LA03550,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03550_SYL29/Data/2LA03550_20260112_093000.wav,50.5,3.5,3.0
other/other_05_2LA02707_20260111_060000_75s.flac,other,,,Mataroni,2LA02707,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA02707_MGM10/Data/2LA02707_20260111_060000.wav,71.5,3.5,3.0
other/other_06_2LA03410_20260110_090000_87s.flac,other,,,Mataroni,2LA03410,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03410_MGM08/Data/2LA03410_20260110_090000.wav,83.5,3.5,3.0
other/other_07_2LA03587_20260109_063000_96s.flac,other,,,Mataroni,2LA03587,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03587_MGM02/Data/2LA03587_20260109_063000.wav,92.5,3.5,3.0
other/other_08_SMA14636_20251222_053000_87s.flac,other,,,CDR,SMA14636,Projet blanci 2025/RELEVE 1 CDR - 21-27 décembre 2025/SMA14636/Data/SMA14636_20251222_053000.wav,83.5,3.5,3.0
other/other_09_2LA03634_20260109_070000_111s.flac,other,,,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260109_070000.wav,107.5,3.5,3.0
rain/rain_00_2LA04444_20260109_063000_33s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,29.5,3.5,3.0
rain/rain_01_2LA04444_20260109_063000_24s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,20.5,3.5,3.0
rain/rain_02_2LA04444_20260109_063000_9s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,5.5,3.5,3.0
rain/rain_03_2LA04444_20260109_063000_18s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,14.5,3.5,3.0
rain/rain_04_2LA04444_20260109_063000_27s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,23.5,3.5,3.0
rain/rain_05_2LA04444_20260109_063000_12s.flac,rain,,,Mataroni,2LA04444,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA04444_SYL14/Data/2LA04444_20260109_063000.wav,8.5,3.5,3.0
uncertain/uncertain_00_2LA03634_20260110_073000_48s.flac,uncertain,,,Mataroni,2LA03634,Projet blanci 2025/RELEVE 3 Mataroni - 06-13 janv 2026/2LA03634_MGM05/Data/2LA03634_20260110_073000.wav,44.5,3.5,3.0
